Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
10/21/2020 02:11:43 pm,80.000,32.4,10/21/2020 02:13:36 pm,80.000,23.4
10/21/2020 02:11:43 pm,80.500,32.4,10/21/2020 02:13:36 pm,80.500,23.3
10/21/2020 02:11:44 pm,81.000,32.4,10/21/2020 02:13:37 pm,81.000,23.2
10/21/2020 02:11:44 pm,81.500,32.5,10/21/2020 02:13:37 pm,81.500,23.0
10/21/2020 02:11:45 pm,82.000,32.4,10/21/2020 02:13:38 pm,82.000,22.9
10/21/2020 02:11:45 pm,82.500,32.5,10/21/2020 02:13:38 pm,82.500,22.9
10/21/2020 02:11:46 pm,83.000,32.6,10/21/2020 02:13:39 pm,83.000,22.8
10/21/2020 02:11:46 pm,83.500,32.6,10/21/2020 02:13:39 pm,83.500,22.7
10/21/2020 02:11:47 pm,84.000,32.7,10/21/2020 02:13:40 pm,84.000,22.6
10/21/2020 02:11:47 pm,84.500,32.6,10/21/2020 02:13:40 pm,84.500,22.6
10/21/2020 02:11:48 pm,85.000,32.6,10/21/2020 02:13:41 pm,85.000,22.5
10/21/2020 02:11:48 pm,85.500,32.6,10/21/2020 02:13:41 pm,85.500,22.3
10/21/2020 02:11:49 pm,86.000,32.6,10/21/2020 02:13:42 pm,86.000,22.2
10/21/2020 02:11:49 pm,86.500,32.6,10/21/2020 02:13:42 pm,86.500,22.1
10/21/2020 02:11:50 pm,87.000,32.6,10/21/2020 02:13:43 pm,87.000,21.9
10/21/2020 02:11:50 pm,87.500,32.6,10/21/2020 02:13:43 pm,87.500,21.8
10/21/2020 02:11:51 pm,88.000,32.5,10/21/2020 02:13:44 pm,88.000,21.6
10/21/2020 02:11:51 pm,88.500,32.6,10/21/2020 02:13:44 pm,88.500,21.4
10/21/2020 02:11:52 pm,89.000,32.5,10/21/2020 02:13:45 pm,89.000,21.3
10/21/2020 02:11:52 pm,89.500,32.6,10/21/2020 02:13:45 pm,89.500,21.3
10/21/2020 02:11:53 pm,90.000,32.6,10/21/2020 02:13:46 pm,90.000,21.2
10/21/2020 02:11:53 pm,90.500,32.6,10/21/2020 02:13:46 pm,90.500,21.1
10/21/2020 02:11:54 pm,91.000,32.6,10/21/2020 02:13:47 pm,91.000,21.1
10/21/2020 02:11:54 pm,91.500,32.6,10/21/2020 02:13:47 pm,91.500,21.0
10/21/2020 02:11:55 pm,92.000,32.6,10/21/2020 02:13:48 pm,92.000,20.9
10/21/2020 02:11:55 pm,92.500,32.6,10/21/2020 02:13:48 pm,92.500,20.8
10/21/2020 02:11:56 pm,93.000,32.6,10/21/2020 02:13:49 pm,93.000,20.7
10/21/2020 02:11:56 pm,93.500,32.6,10/21/2020 02:13:49 pm,93.500,20.6
10/21/2020 02:11:57 pm,94.000,32.6,10/21/2020 02:13:50 pm,94.000,20.5
10/21/2020 02:11:57 pm,94.500,32.6,10/21/2020 02:13:50 pm,94.500,20.3
10/21/2020 02:11:58 pm,95.000,32.6,10/21/2020 02:13:51 pm,95.000,20.3
10/21/2020 02:11:58 pm,95.500,32.6,10/21/2020 02:13:51 pm,95.500,20.2
10/21/2020 02:11:59 pm,96.000,32.6,10/21/2020 02:13:52 pm,96.000,20.1
10/21/2020 02:11:59 pm,96.500,32.6,10/21/2020 02:13:52 pm,96.500,19.9
10/21/2020 02:12:00 pm,97.000,32.6,10/21/2020 02:13:53 pm,97.000,19.8
10/21/2020 02:12:00 pm,97.500,32.6,10/21/2020 02:13:53 pm,97.500,19.7
10/21/2020 02:12:01 pm,98.000,32.6,10/21/2020 02:13:54 pm,98.000,19.6
10/21/2020 02:12:01 pm,98.500,32.6,10/21/2020 02:13:54 pm,98.500,19.5
10/21/2020 02:12:02 pm,99.000,32.5,10/21/2020 02:13:55 pm,99.000,19.4
10/21/2020 02:12:02 pm,99.500,32.5,10/21/2020 02:13:55 pm,99.500,19.2
10/21/2020 02:12:03 pm,100.000,32.4,10/21/2020 02:13:56 pm,100.000,19.1
10/21/2020 02:12:03 pm,100.500,32.4,10/21/2020 02:13:56 pm,100.500,19.0
10/21/2020 02:12:04 pm,101.000,32.3,10/21/2020 02:13:57 pm,101.000,18.9
10/21/2020 02:12:04 pm,101.500,32.3,10/21/2020 02:13:57 pm,101.500,18.8
10/21/2020 02:12:05 pm,102.000,32.3,10/21/2020 02:13:58 pm,102.000,18.7
10/21/2020 02:12:05 pm,102.500,32.2,10/21/2020 02:13:58 pm,102.500,18.6
10/21/2020 02:12:06 pm,103.000,32.2,10/21/2020 02:13:59 pm,103.000,18.5
10/21/2020 02:12:06 pm,103.500,32.2,10/21/2020 02:13:59 pm,103.500,18.5
10/21/2020 02:12:07 pm,104.000,32.2,10/21/2020 02:14:00 pm,104.000,18.4
10/21/2020 02:12:07 pm,104.500,32.1,10/21/2020 02:14:00 pm,104.500,18.3
10/21/2020 02:12:08 pm,105.000,32.1,10/21/2020 02:14:01 pm,105.000,18.2
10/21/2020 02:12:08 pm,105.500,32.1,10/21/2020 02:14:01 pm,105.500,18.1
10/21/2020 02:12:09 pm,106.000,32.1,10/21/2020 02:14:02 pm,106.000,18.0
10/21/2020 02:12:09 pm,106.500,32.1,10/21/2020 02:14:02 pm,106.500,18.0
10/21/2020 02:12:10 pm,107.000,32.1,10/21/2020 02:14:03 pm,107.000,17.9
10/21/2020 02:12:10 pm,107.500,32.1,10/21/2020 02:14:03 pm,107.500,17.8
10/21/2020 02:12:11 pm,108.000,32.1,10/21/2020 02:14:04 pm,108.000,17.7
10/21/2020 02:12:11 pm,108.500,32.1,10/21/2020 02:14:04 pm,108.500,17.6
10/21/2020 02:12:12 pm,109.000,32.1,10/21/2020 02:14:05 pm,109.000,17.5
10/21/2020 02:12:12 pm,109.500,32.1,10/21/2020 02:14:05 pm,109.500,17.5
10/21/2020 02:12:13 pm,110.000,32.1,10/21/2020 02:14:06 pm,110.000,17.4
,,,10/21/2020 02:14:06 pm,110.500,17.4
,,,10/21/2020 02:14:07 pm,111.000,17.3
,,,10/21/2020 02:14:07 pm,111.500,17.2
,,,10/21/2020 02:14:08 pm,112.000,17.2
,,,10/21/2020 02:14:08 pm,112.500,17.1
,,,10/21/2020 02:14:09 pm,113.000,17.0
,,,10/21/2020 02:14:09 pm,113.500,16.9
,,,10/21/2020 02:14:10 pm,114.000,16.8
,,,10/21/2020 02:14:10 pm,114.500,16.8
,,,10/21/2020 02:14:11 pm,115.000,16.7
,,,10/21/2020 02:14:11 pm,115.500,16.7
,,,10/21/2020 02:14:12 pm,116.000,16.5
,,,10/21/2020 02:14:12 pm,116.500,16.5
,,,10/21/2020 02:14:13 pm,117.000,16.4
,,,10/21/2020 02:14:13 pm,117.500,16.3
,,,10/21/2020 02:14:14 pm,118.000,16.2
,,,10/21/2020 02:14:14 pm,118.500,16.1
,,,10/21/2020 02:14:15 pm,119.000,16.0
